merchant,category,star,address,oper_time,starCount,reviewCount
위키드찜닭,닭요리,3.3,서울마포구 와우산로19길26 2층(우)04041,"수~금 17:00 ~ 22:30

토,일 13:00 ~ 22:30",16,155
대포막창,"곱창,막창",4.6,서울마포구 양화로6길57-5 (우)04047,"화~금 17:00 ~ 01:00

토,일 16:00 ~ 01:00",42,140
옹다래찜닭 홍대점,닭요리,3.8,서울마포구 양화로122 (우)04038,매일 11:00 ~ 23:30,26,79
큐브이스케이프 홍대점,테마카페,2.7,서울마포구 양화로16길15 무광빌딩4층(우)04039,"월~목 12:00 ~ 23:20

금 12:00 ~ 01:10

토 11:00 ~ 01:10

일 11:00 ~ 23:20",32,421
수지앤파스타,이탈리안,4.1,서울마포구 독막로15길3-18 (우)04049,화~일 11:30 ~ 22:00,51,2048
퐁포네뜨 홍대점,"제과,베이커리",4.3,서울마포구 와우산로25길11 (우)04054,매일 10:30 ~ 21:00,59,67
토라비,디저트카페,4.2,서울마포구 와우산로29바길24 2층(우)04053,매일 12:00 ~ 21:30,69,202
옛맛서울불고기 (2024년 5월 예정),"불고기,두루치기",3.4,서울마포구 창전로45 서강한화오벨리스크스아파트103동1층101호(우)04086,"화~일 11:00 ~ 21:00

화~일 휴게시간 13:30 ~ 16:30",98,145
무대륙,카페,3.8,서울마포구 토정로5길12 (우)04073,매일 12:00 ~ 24:00,100,123
닭꼬얌,닭요리,3.7,서울마포구 와우산로18길29 지하1층(우)04067,매일 11:00 ~ 23:00,59,50
배터리88,"호프,요리주점",3.1,서울마포구 와우산로19길6 (우)04041,매일 17:00 ~ 05:00,38,50
또보겠지떡볶이집 붕붕허니비점,떡볶이,3.9,서울마포구 양화로19길22-25 2층(우)03994,"화~일 11:30 ~ 21:00

화~일 라스트오더 ~ 20:00

화~금 휴게시간 15:00 ~ 16:30",141,590
고수포차,실내포장마차,4.6,서울마포구 독막로76-1 한주빌딩1층102호(우)04074,"월~목 17:00 ~ 01:00

금 17:00 ~ 02:00

토 16:00 ~ 02:00

일 16:00 ~ 24:00",28,99
와우끝집,회,3.9,서울마포구 와우산로156 2층(우)04061,월~토 17:00 ~ 22:00,37,93
키즈나,일본식주점,4.2,서울마포구 와우산로29바길6 지층(우)04053,화~일 17:00 ~ 02:00,29,51
앤디스커피,카페,3.3,"서울마포구 와우산로35길75 2,3층(우)04052","월~금 10:00 ~ 23:00

토,일 11:00 ~ 23:00",30,3
델문도,카페,2.9,서울마포구 잔다리로19-6 2층(우)04048,"월~금 13:00 ~ 21:00

토,일 12:00 ~ 21:00",64,90
스노브,디저트카페,3.5,서울마포구 와우산로59 (우)04049,매일 11:00 ~ 23:00,47,30
